,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
222,Rahat Ali,5,5,44.0,1,192,7,3/40,27.42,4.36,37.7,0,0,,Pakistan,2015-03-01,2015-04-01
223,Sohail Khan,5,5,41.5,2,236,6,2/44,39.33,5.64,41.8,0,0,,Pakistan,2015-03-01,2015-04-01
224,Ehsan Adil,2,2,12.0,0,62,2,1/31,31.0,5.16,36.0,0,0,,Pakistan,2015-03-01,2015-04-01
225,Shahid Afridi,5,5,39.0,2,184,2,2/35,92.0,4.71,117.0,0,0,,Pakistan,2015-03-01,2015-04-01
226,Haris Sohail,4,3,8.0,0,45,1,1/20,45.0,5.62,48.0,0,0,,Pakistan,2015-03-01,2015-04-01
227,Sohaib Maqsood,5,1,5.0,0,16,1,1/16,16.0,3.2,30.0,0,0,,Pakistan,2015-03-01,2015-04-01
228,Ahmed Shehzad,5,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
229,Misbah-ul-Haq,5,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
230,Nasir Jamshed,2,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
231,Sarfaraz Ahmed,3,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
232,Umar Akmal,5,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
233,Younis Khan,1,,,,,,,,,,,,,Pakistan,2015-03-01,2015-04-01
234,Taskin Ahmed,4,4,34.0,0,220,8,3/43,27.5,6.47,25.5,0,0,,Bangladesh,2015-03-01,2015-04-01
235,Rubel Hossain,4,4,35.3,1,209,6,4/53,34.83,5.88,35.5,1,0,,Bangladesh,2015-03-01,2015-04-01
236,Shakib Al Hasan,4,4,38.5,1,200,6,4/55,33.33,5.15,38.8,1,0,,Bangladesh,2015-03-01,2015-04-01
237,Mashrafe Mortaza,3,3,28.0,0,177,4,2/48,44.25,6.32,42.0,0,0,,Bangladesh,2015-03-01,2015-04-01
238,Nasir Hossain,3,3,19.0,0,99,4,2/32,24.75,5.21,28.5,0,0,,Bangladesh,2015-03-01,2015-04-01
239,Sabbir Rahman,4,3,11.0,0,74,1,1/47,74.0,6.72,66.0,0,0,,Bangladesh,2015-03-01,2015-04-01
240,Arafat Sunny,1,1,8.0,0,42,0,,,5.25,,0,0,,Bangladesh,2015-03-01,2015-04-01
241,Mahmudullah,4,3,9.0,0,55,0,,,6.11,,0,0,,Bangladesh,2015-03-01,2015-04-01
242,Soumya Sarkar,4,1,4.0,0,19,0,,,4.75,,0,0,,Bangladesh,2015-03-01,2015-04-01
243,Taijul Islam,1,1,10.0,0,58,0,,,5.8,,0,0,,Bangladesh,2015-03-01,2015-04-01
244,Anamul Haque,1,,,,,,,,,,,,,Bangladesh,2015-03-01,2015-04-01
