,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
238,Soumya Sarkar,4,4,0,122,51,30.5,158,77.21,0,1,0,15,2,,Bangladesh,2015-03-01,2015-04-01
239,Shakib Al Hasan,4,4,1,87,52,29.0,99,87.87,0,1,0,8,1,,Bangladesh,2015-03-01,2015-04-01
240,Nasir Hossain,3,2,0,46,35,23.0,41,112.19,0,0,0,6,1,,Bangladesh,2015-03-01,2015-04-01
241,Imrul Kayes,3,3,0,9,5,3.0,35,25.71,0,0,0,0,0,,Bangladesh,2015-03-01,2015-04-01
242,Mashrafe Mortaza,3,2,1,7,6,7.0,7,100.0,0,0,0,1,0,,Bangladesh,2015-03-01,2015-04-01
243,Arafat Sunny,1,1,1,3,3,,3,100.0,0,0,0,0,0,,Bangladesh,2015-03-01,2015-04-01
244,Rubel Hossain,4,2,1,0,0,0.0,3,0.0,0,0,1,0,0,,Bangladesh,2015-03-01,2015-04-01
245,Taskin Ahmed,4,1,1,0,0,,0,,0,0,0,0,0,,Bangladesh,2015-03-01,2015-04-01
246,Anamul Haque,1,,,,,,,,,,,,,,Bangladesh,2015-03-01,2015-04-01
247,Taijul Islam,1,,,,,,,,,,,,,,Bangladesh,2015-03-01,2015-04-01
248,MJ Guptill,5,5,1,448,237,112.0,411,109.0,2,1,0,46,15,,New Zealand,2015-03-01,2015-04-01
249,GD Elliott,5,5,1,252,84,63.0,228,110.52,0,2,0,22,7,,New Zealand,2015-03-01,2015-04-01
250,LRPL Taylor,5,5,1,192,56,48.0,310,61.93,0,1,0,15,0,,New Zealand,2015-03-01,2015-04-01
251,BB McCullum,5,5,0,121,59,24.2,64,189.06,0,1,1,16,6,,New Zealand,2015-03-01,2015-04-01
252,CJ Anderson,5,5,1,119,58,29.75,109,109.17,0,1,1,11,6,,New Zealand,2015-03-01,2015-04-01
253,KS Williamson,5,5,0,85,33,17.0,126,67.46,0,0,0,11,0,,New Zealand,2015-03-01,2015-04-01
254,DL Vettori,5,4,3,40,16,40.0,39,102.56,0,0,0,5,1,,New Zealand,2015-03-01,2015-04-01
255,L Ronchi,5,4,0,26,9,6.5,26,100.0,0,0,1,5,0,,New Zealand,2015-03-01,2015-04-01
256,TG Southee,5,2,1,23,12,23.0,17,135.29,0,0,0,1,2,,New Zealand,2015-03-01,2015-04-01
257,TA Boult,5,1,1,0,0,,1,0.0,0,0,0,0,0,,New Zealand,2015-03-01,2015-04-01
258,MJ Henry,2,1,0,0,0,0.0,7,0.0,0,0,1,0,0,,New Zealand,2015-03-01,2015-04-01
259,MJ McClenaghan,1,,,,,,,,,,,,,,New Zealand,2015-03-01,2015-04-01
260,AF Milne,2,,,,,,,,,,,,,,New Zealand,2015-03-01,2015-04-01
261,IR Bell,3,3,1,164,63,82.0,192,85.41,0,2,0,20,0,,England,2015-03-01,2015-04-01
262,JE Root,3,2,0,150,121,75.0,155,96.77,1,0,0,16,2,,England,2015-03-01,2015-04-01
263,JC Buttler,3,2,1,104,65,104.0,71,146.47,0,1,0,12,2,,England,2015-03-01,2015-04-01
264,AD Hales,2,2,0,64,37,32.0,67,95.52,0,0,0,7,2,,England,2015-03-01,2015-04-01
265,CR Woakes,2,2,2,51,42,,48,106.25,0,0,0,4,0,,England,2015-03-01,2015-04-01
266,MM Ali,2,2,0,34,19,17.0,47,72.34,0,0,0,6,0,,England,2015-03-01,2015-04-01
267,JWA Taylor,3,3,1,34,25,17.0,50,68.0,0,0,0,1,1,,England,2015-03-01,2015-04-01
268,EJG Morgan,3,2,0,27,27,13.5,50,54.0,0,0,1,2,1,,England,2015-03-01,2015-04-01
269,SCJ Broad,3,1,0,9,9,9.0,6,150.0,0,0,0,0,1,,England,2015-03-01,2015-04-01
270,GS Ballance,1,1,0,6,6,6.0,14,42.85,0,0,0,1,0,,England,2015-03-01,2015-04-01
271,JM Anderson,3,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,England,2015-03-01,2015-04-01
272,CJ Jordan,2,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,England,2015-03-01,2015-04-01
273,RS Bopara,1,,,,,,,,,,,,,,England,2015-03-01,2015-04-01
274,ST Finn,1,,,,,,,,,,,,,,England,2015-03-01,2015-04-01
275,JC Tredwell,1,,,,,,,,,,,,,,England,2015-03-01,2015-04-01
276,SPD Smith,6,5,1,393,105,98.25,419,93.79,1,4,0,36,4,,Australia,2015-03-01,2015-04-01
277,DA Warner,6,6,1,289,178,57.8,227,127.31,1,0,0,33,8,,Australia,2015-03-01,2015-04-01
278,GJ Maxwell,6,4,1,257,102,85.66,135,190.37,1,1,0,24,14,,Australia,2015-03-01,2015-04-01
279,MJ Clarke,6,5,0,207,74,41.4,210,98.57,0,2,0,24,3,,Australia,2015-03-01,2015-04-01
280,SR Watson,5,5,2,185,67,61.66,165,112.12,0,2,0,20,4,,Australia,2015-03-01,2015-04-01
281,AJ Finch,6,6,0,131,81,21.83,169,77.51,0,1,1,13,2,,Australia,2015-03-01,2015-04-01
282,BJ Haddin,6,3,2,52,25,52.0,25,208.0,0,0,0,7,2,,Australia,2015-03-01,2015-04-01
283,JP Faulkner,6,4,1,44,21,14.66,25,176.0,0,0,1,6,2,,Australia,2015-03-01,2015-04-01
284,MG Johnson,6,2,2,30,27,,12,250.0,0,0,0,4,1,,Australia,2015-03-01,2015-04-01
285,MR Marsh,1,1,0,8,8,8.0,9,88.88,0,0,0,0,0,,Australia,2015-03-01,2015-04-01
286,XJ Doherty,1,1,1,0,0,,1,0.0,0,0,0,0,0,,Australia,2015-03-01,2015-04-01
287,MA Starc,6,1,0,0,0,0.0,0,,0,0,1,0,0,,Australia,2015-03-01,2015-04-01
288,PJ Cummins,1,,,,,,,,,,,,,,Australia,2015-03-01,2015-04-01
289,JR Hazlewood,4,,,,,,,,,,,,,,Australia,2015-03-01,2015-04-01
290,Najibullah Zadran,3,3,1,92,56,46.0,102,90.19,0,1,0,11,3,,Afghanistan,2015-03-01,2015-04-01
291,Samiullah Shinwari,3,3,0,78,54,26.0,152,51.31,0,1,0,8,1,,Afghanistan,2015-03-01,2015-04-01
292,Nawroz Mangal,3,3,0,64,33,21.33,109,58.71,0,0,0,5,2,,Afghanistan,2015-03-01,2015-04-01
293,Shafiqullah,1,1,0,30,30,30.0,64,46.87,0,0,0,1,0,,Afghanistan,2015-03-01,2015-04-01
294,Mohammad Nabi,3,3,0,24,16,8.0,42,57.14,0,0,0,1,1,,Afghanistan,2015-03-01,2015-04-01
295,Hamid Hassan,3,3,1,23,16,11.5,41,56.09,0,0,0,4,0,,Afghanistan,2015-03-01,2015-04-01
296,Javed Ahmadi,3,3,0,21,13,7.0,46,45.65,0,0,0,1,0,,Afghanistan,2015-03-01,2015-04-01
297,Nasir Jamal,1,1,0,17,17,17.0,52,32.69,0,0,0,2,0,,Afghanistan,2015-03-01,2015-04-01
298,Afsar Zazai,3,3,0,16,10,5.33,55,29.09,0,0,1,0,0,,Afghanistan,2015-03-01,2015-04-01
299,Asghar Afghan,2,2,0,13,9,6.5,28,46.42,0,0,0,2,0,,Afghanistan,2015-03-01,2015-04-01
300,Usman Ghani,2,2,0,12,12,6.0,22,54.54,0,0,1,0,0,,Afghanistan,2015-03-01,2015-04-01
301,Shapoor Zadran,3,2,2,2,2,,8,25.0,0,0,0,0,0,,Afghanistan,2015-03-01,2015-04-01
302,Dawlat Zadran,3,2,0,1,1,0.5,9,11.11,0,0,1,0,0,,Afghanistan,2015-03-01,2015-04-01
303,AB de Villiers,5,4,1,265,99,88.33,194,136.59,0,3,0,22,12,,South Africa,2015-03-01,2015-04-01
304,F du Plessis,4,4,1,239,109,79.66,276,86.59,1,1,0,20,3,,South Africa,2015-03-01,2015-04-01
305,HM Amla,5,5,0,235,159,47.0,208,112.98,1,0,0,31,4,,South Africa,2015-03-01,2015-04-01
306,RR Rossouw,5,4,1,149,61,49.66,141,105.67,0,1,0,17,4,,South Africa,2015-03-01,2015-04-01
307,DA Miller,5,4,1,144,49,48.0,102,141.17,0,0,1,12,5,,South Africa,2015-03-01,2015-04-01
308,Q de Kock,5,5,1,119,78,29.75,125,95.2,0,1,1,16,0,,South Africa,2015-03-01,2015-04-01
309,F Behardien,2,1,1,64,64,,31,206.45,0,1,0,5,3,,South Africa,2015-03-01,2015-04-01
310,JP Duminy,4,3,1,43,23,21.5,45,95.55,0,0,0,4,0,,South Africa,2015-03-01,2015-04-01
311,DW Steyn,5,1,0,16,16,16.0,17,94.11,0,0,0,3,0,,South Africa,2015-03-01,2015-04-01
312,KJ Abbott,3,1,0,12,12,12.0,19,63.15,0,0,0,2,0,,South Africa,2015-03-01,2015-04-01
313,VD Philander,2,1,1,10,10,,6,166.66,0,0,0,1,0,,South Africa,2015-03-01,2015-04-01
314,M Morkel,5,1,1,6,6,,8,75.0,0,0,0,1,0,,South Africa,2015-03-01,2015-04-01
315,Imran Tahir,5,1,0,0,0,0.0,6,0.0,0,0,1,0,0,,South Africa,2015-03-01,2015-04-01
316,Azhar Ali,3,3,0,209,101,69.66,245,85.3,1,1,0,22,0,,Pakistan,2015-04-01,2015-05-01
317,Haris Sohail,3,3,0,147,52,49.0,183,80.32,0,2,0,6,4,,Pakistan,2015-04-01,2015-05-01
318,Saad Nasim,3,3,1,99,77,49.5,124,79.83,0,1,1,9,1,,Pakistan,2015-04-01,2015-05-01
319,Mohammad Rizwan,3,3,0,84,67,28.0,86,97.67,0,1,0,10,0,,Pakistan,2015-04-01,2015-05-01
320,Wahab Riaz,3,3,1,66,51,33.0,60,110.0,0,1,0,7,2,,Pakistan,2015-04-01,2015-05-01
321,Sami Aslam,1,1,0,45,45,45.0,50,90.0,0,0,0,7,0,,Pakistan,2015-04-01,2015-05-01
322,Sarfaraz Ahmed,2,2,0,31,24,15.5,42,73.8,0,0,0,3,0,,Pakistan,2015-04-01,2015-05-01
323,Fawad Alam,3,3,0,18,14,6.0,34,52.94,0,0,1,1,0,,Pakistan,2015-04-01,2015-05-01
324,Mohammad Hafeez,3,3,0,8,4,2.66,28,28.57,0,0,1,1,0,,Pakistan,2015-04-01,2015-05-01
325,Junaid Khan,3,2,0,4,4,2.0,6,66.66,0,0,1,0,0,,Pakistan,2015-04-01,2015-05-01
326,Rahat Ali,2,1,1,1,1,,1,100.0,0,0,0,0,0,,Pakistan,2015-04-01,2015-05-01
327,Zulfiqar Babar,1,1,1,1,1,,4,25.0,0,0,0,0,0,,Pakistan,2015-04-01,2015-05-01
328,Saeed Ajmal,2,1,0,0,0,0.0,4,0.0,0,0,1,0,0,,Pakistan,2015-04-01,2015-05-01
329,Umar Gul,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Pakistan,2015-04-01,2015-05-01
330,Tamim Iqbal,3,3,1,312,132,156.0,327,95.41,2,1,0,40,5,,Bangladesh,2015-04-01,2015-05-01
331,Mushfiqur Rahim,3,3,1,220,106,110.0,190,115.78,1,1,0,27,3,,Bangladesh,2015-04-01,2015-05-01
332,Soumya Sarkar,3,3,1,164,127,82.0,157,104.45,1,0,0,20,6,,Bangladesh,2015-04-01,2015-05-01
333,Shakib Al Hasan,3,2,1,38,31,38.0,32,118.75,0,0,0,5,0,,Bangladesh,2015-04-01,2015-05-01
334,Mahmudullah,3,3,0,26,17,8.66,56,46.42,0,0,0,3,0,,Bangladesh,2015-04-01,2015-05-01
335,Sabbir Rahman,3,1,0,15,15,15.0,7,214.28,0,0,0,1,1,,Bangladesh,2015-04-01,2015-05-01
336,Nasir Hossain,3,1,1,3,3,,1,300.0,0,0,0,0,0,,Bangladesh,2015-04-01,2015-05-01
337,Abul Hasan,1,,,,,,,,,,,,,,Bangladesh,2015-04-01,2015-05-01
338,Arafat Sunny,3,,,,,,,,,,,,,,Bangladesh,2015-04-01,2015-05-01
339,Mashrafe Mortaza,2,,,,,,,,,,,,,,Bangladesh,2015-04-01,2015-05-01
340,Rubel Hossain,3,,,,,,,,,,,,,,Bangladesh,2015-04-01,2015-05-01
341,Taskin Ahmed,3,,,,,,,,,,,,,,Bangladesh,2015-04-01,2015-05-01
342,Azhar Ali,3,3,0,227,102,75.66,239,94.97,1,1,0,21,3,,Pakistan,2015-05-01,2015-06-01
343,Mohammad Hafeez,3,3,0,181,86,60.33,187,96.79,0,2,0,18,5,,Pakistan,2015-05-01,2015-06-01
344,Shoaib Malik,3,3,1,151,112,75.5,103,146.6,1,0,0,16,3,,Pakistan,2015-05-01,2015-06-01
345,Haris Sohail,2,2,2,141,89,,115,122.6,0,2,0,12,2,,Pakistan,2015-05-01,2015-06-01
346,Asad Shafiq,3,2,0,55,39,27.5,84,65.47,0,0,0,2,0,,Pakistan,2015-05-01,2015-06-01
347,Babar Azam,1,1,0,54,54,54.0,60,90.0,0,1,0,4,0,,Pakistan,2015-05-01,2015-06-01
348,Sarfaraz Ahmed,3,2,0,47,25,23.5,51,92.15,0,0,0,4,0,,Pakistan,2015-05-01,2015-06-01
349,Anwar Ali,3,1,1,38,38,,23,165.21,0,0,0,2,2,,Pakistan,2015-05-01,2015-06-01
350,Wahab Riaz,3,1,0,13,13,13.0,10,130.0,0,0,0,1,1,,Pakistan,2015-05-01,2015-06-01
351,Junaid Khan,1,1,1,5,5,,2,250.0,0,0,0,1,0,,Pakistan,2015-05-01,2015-06-01
352,Hammad Azam,3,1,0,4,4,4.0,12,33.33,0,0,0,0,0,,Pakistan,2015-05-01,2015-06-01
353,Yasir Shah,3,1,0,0,0,0.0,0,,0,0,1,0,0,,Pakistan,2015-05-01,2015-06-01
354,Mohammad Sami,2,,,,,,,,,,,,,,Pakistan,2015-05-01,2015-06-01
355,ZS Ansari,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
356,JM Bairstow,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
357,TT Bresnan,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
358,ST Finn,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
359,AD Hales,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
360,AU Rashid,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
361,JJ Roy,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
362,JWA Taylor,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
363,JM Vince,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
364,DJ Willey,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
365,MA Wood,1,,,,,,,,,,,,,,England,2015-05-01,2015-06-01
366,S Dhawan,3,3,0,158,75,52.66,171,92.39,0,2,0,20,0,,India,2015-06-01,2015-07-01
367,MS Dhoni,3,3,0,121,69,40.33,159,76.1,0,1,0,9,1,,India,2015-06-01,2015-07-01
368,SK Raina,3,3,0,112,40,37.33,116,96.55,0,0,0,7,4,,India,2015-06-01,2015-07-01
369,RG Sharma,3,3,0,92,63,30.66,99,92.92,0,1,1,6,2,,India,2015-06-01,2015-07-01
370,RA Jadeja,2,2,0,51,32,25.5,68,75.0,0,0,0,3,0,,India,2015-06-01,2015-07-01
371,V Kohli,3,3,0,49,25,16.33,66,74.24,0,0,0,4,1,,India,2015-06-01,2015-07-01
372,AT Rayudu,2,2,0,44,44,22.0,52,84.61,0,0,1,3,0,,India,2015-06-01,2015-07-01
373,B Kumar,2,2,1,28,25,28.0,31,90.32,0,0,0,2,1,,India,2015-06-01,2015-07-01
374,STR Binny,1,1,1,17,17,,11,154.54,0,0,0,2,0,,India,2015-06-01,2015-07-01
375,MM Sharma,1,1,0,11,11,11.0,19,57.89,0,0,0,2,0,,India,2015-06-01,2015-07-01
376,AR Patel,2,2,1,10,10,10.0,6,166.66,0,0,1,0,1,,India,2015-06-01,2015-07-01
377,AM Rahane,1,1,0,9,9,9.0,25,36.0,0,0,0,1,0,,India,2015-06-01,2015-07-01
378,R Ashwin,3,2,0,4,4,2.0,11,36.36,0,0,1,0,0,,India,2015-06-01,2015-07-01
379,DS Kulkarni,2,1,1,2,2,,2,100.0,0,0,0,0,0,,India,2015-06-01,2015-07-01
380,UT Yadav,2,1,0,2,2,2.0,11,18.18,0,0,0,0,0,,India,2015-06-01,2015-07-01
381,Soumya Sarkar,3,3,0,128,54,42.66,121,105.78,0,1,0,15,4,,Bangladesh,2015-06-01,2015-07-01
382,Shakib Al Hasan,3,3,1,123,52,61.5,151,81.45,0,2,0,10,0,,Bangladesh,2015-06-01,2015-07-01
383,Sabbir Rahman,3,3,1,106,43,53.0,105,100.95,0,0,0,14,1,,Bangladesh,2015-06-01,2015-07-01
384,Litton Das,3,3,0,78,36,26.0,104,75.0,0,0,0,8,0,,Bangladesh,2015-06-01,2015-07-01
385,Tamim Iqbal,3,3,0,78,60,26.0,91,85.71,0,1,0,11,1,,Bangladesh,2015-06-01,2015-07-01
386,Mushfiqur Rahim,3,3,0,69,31,23.0,83,83.13,0,0,0,4,2,,Bangladesh,2015-06-01,2015-07-01
387,Nasir Hossain,3,2,0,66,34,33.0,57,115.78,0,0,0,6,1,,Bangladesh,2015-06-01,2015-07-01
388,Mashrafe Mortaza,3,2,0,21,21,10.5,27,77.77,0,0,1,3,0,,Bangladesh,2015-06-01,2015-07-01
389,Arafat Sunny,1,1,1,14,14,,40,35.0,0,0,0,1,0,,Bangladesh,2015-06-01,2015-07-01
390,Mustafizur Rahman,3,2,1,9,9,9.0,17,52.94,0,0,0,1,0,,Bangladesh,2015-06-01,2015-07-01
391,Rubel Hossain,3,2,0,6,4,3.0,11,54.54,0,0,0,1,0,,Bangladesh,2015-06-01,2015-07-01
392,Taskin Ahmed,2,1,0,2,2,2.0,5,40.0,0,0,0,0,0,,Bangladesh,2015-06-01,2015-07-01
393,KS Williamson,5,5,0,396,118,79.2,379,104.48,1,3,0,49,3,,New Zealand,2015-06-01,2015-07-01
394,LRPL Taylor,5,5,1,375,119,93.75,391,95.9,2,1,0,32,5,,New Zealand,2015-06-01,2015-07-01
395,MJ Guptill,5,5,0,194,67,38.8,217,89.4,0,3,0,24,3,,New Zealand,2015-06-01,2015-07-01
396,GD Elliott,5,5,1,151,55,37.75,134,112.68,0,1,0,13,5,,New Zealand,2015-06-01,2015-07-01
397,BB McCullum,5,5,0,101,39,20.2,70,144.28,0,0,0,11,4,,New Zealand,2015-06-01,2015-07-01
398,MJ Santner,5,5,1,97,44,24.25,75,129.33,0,0,0,10,4,,New Zealand,2015-06-01,2015-07-01
399,L Ronchi,5,5,0,56,33,11.2,41,136.58,0,0,1,3,4,,New Zealand,2015-06-01,2015-07-01
400,BM Wheeler,3,3,3,45,39,,36,125.0,0,0,0,2,3,,New Zealand,2015-06-01,2015-07-01
401,TG Southee,4,3,1,24,18,12.0,19,126.31,0,0,0,3,0,,New Zealand,2015-06-01,2015-07-01
402,MJ Henry,4,2,0,12,12,6.0,12,100.0,0,0,1,1,1,,New Zealand,2015-06-01,2015-07-01
403,NL McCullum,2,1,0,5,5,5.0,10,50.0,0,0,0,1,0,,New Zealand,2015-06-01,2015-07-01
404,MJ McClenaghan,4,1,0,2,2,2.0,2,100.0,0,0,0,0,0,,New Zealand,2015-06-01,2015-07-01
405,TA Boult,2,1,1,0,0,,0,,0,0,0,0,0,,New Zealand,2015-06-01,2015-07-01
406,AW Mathieson,1,1,1,0,0,,0,,0,0,0,0,0,,New Zealand,2015-06-01,2015-07-01
407,EJG Morgan,5,5,0,322,113,64.4,258,124.8,1,3,1,23,16,,England,2015-06-01,2015-07-01
408,JE Root,5,5,1,274,106,68.5,253,108.3,2,1,0,33,2,,England,2015-06-01,2015-07-01
409,JC Buttler,4,3,0,183,129,61.0,125,146.4,1,0,0,19,6,,England,2015-06-01,2015-07-01
410,AD Hales,5,5,0,165,67,33.0,131,125.95,0,2,0,20,7,,England,2015-06-01,2015-07-01
411,BA Stokes,5,5,1,142,68,35.5,104,136.53,0,1,0,15,4,,England,2015-06-01,2015-07-01
412,AU Rashid,5,4,1,115,69,38.33,86,133.72,0,1,1,15,2,,England,2015-06-01,2015-07-01
413,JJ Roy,5,5,0,98,39,19.6,110,89.09,0,0,1,13,1,,England,2015-06-01,2015-07-01
414,SW Billings,5,4,0,90,41,22.5,68,132.35,0,0,0,11,1,,England,2015-06-01,2015-07-01
415,JM Bairstow,1,1,1,83,83,,60,138.33,0,1,0,11,0,,England,2015-06-01,2015-07-01
416,LE Plunkett,2,2,1,57,44,57.0,33,172.72,0,0,0,2,5,,England,2015-06-01,2015-07-01
417,DJ Willey,3,2,0,15,8,7.5,18,83.33,0,0,0,2,0,,England,2015-06-01,2015-07-01
418,ST Finn,5,3,2,6,6,6.0,6,100.0,0,0,1,1,0,,England,2015-06-01,2015-07-01
419,CJ Jordan,2,2,1,5,3,5.0,6,83.33,0,0,0,0,0,,England,2015-06-01,2015-07-01
420,MA Wood,3,1,1,3,3,,4,75.0,0,0,0,0,0,,England,2015-06-01,2015-07-01
421,AT Rayudu,2,2,1,165,124,165.0,183,90.16,1,0,0,15,1,,India,2015-07-01,2015-08-01
422,KM Jadhav,3,3,1,126,105,63.0,113,111.5,1,0,0,14,1,,India,2015-07-01,2015-08-01
423,STR Binny,3,3,1,120,77,60.0,100,120.0,0,1,0,11,3,,India,2015-07-01,2015-08-01
424,AM Rahane,3,3,0,112,63,37.33,154,72.72,0,1,0,13,0,,India,2015-07-01,2015-08-01
425,M Vijay,3,3,0,86,72,28.66,125,68.8,0,1,0,3,2,,India,2015-07-01,2015-08-01
426,MK Pandey,1,1,0,71,71,71.0,86,82.55,0,1,0,4,1,,India,2015-07-01,2015-08-01
427,RV Uthappa,3,3,0,44,31,14.66,58,75.86,0,0,1,4,0,,India,2015-07-01,2015-08-01
428,MK Tiwary,3,3,0,34,22,11.33,73,46.57,0,0,0,0,1,,India,2015-07-01,2015-08-01
429,Harbhajan Singh,3,1,1,5,5,,4,125.0,0,0,0,0,0,,India,2015-07-01,2015-08-01
430,AR Patel,3,2,1,3,2,3.0,5,60.0,0,0,0,0,0,,India,2015-07-01,2015-08-01
431,B Kumar,3,1,1,0,0,,0,,0,0,0,0,0,,India,2015-07-01,2015-08-01
432,DS Kulkarni,2,,,,,,,,,,,,,,India,2015-07-01,2015-08-01
433,MM Sharma,1,,,,,,,,,,,,,,India,2015-07-01,2015-08-01
434,Mohammad Hafeez,5,5,0,273,103,54.6,299,91.3,1,2,0,27,7,,Pakistan,2015-07-01,2015-08-01
435,Azhar Ali,5,5,0,217,79,43.4,262,82.82,0,1,0,22,0,,Pakistan,2015-07-01,2015-08-01
436,Ahmed Shehzad,5,5,0,216,95,43.2,249,86.74,0,1,0,26,1,,Pakistan,2015-07-01,2015-08-01
437,Shoaib Malik,5,5,3,188,55,94.0,151,124.5,0,2,0,12,9,,Pakistan,2015-07-01,2015-08-01
438,Mohammad Rizwan,5,4,2,136,52,68.0,128,106.25,0,1,0,13,2,,Pakistan,2015-07-01,2015-08-01
439,Sarfaraz Ahmed,5,4,1,128,77,42.66,130,98.46,0,1,0,11,0,,Pakistan,2015-07-01,2015-08-01
440,Anwar Ali,5,2,1,40,29,40.0,34,117.64,0,0,0,4,1,,Pakistan,2015-07-01,2015-08-01
441,Babar Azam,2,2,0,37,25,18.5,49,75.51,0,0,0,4,0,,Pakistan,2015-07-01,2015-08-01
442,Imad Wasim,3,1,0,15,15,15.0,17,88.23,0,0,0,2,0,,Pakistan,2015-07-01,2015-08-01
443,Yasir Shah,5,2,0,10,9,5.0,15,66.66,0,0,0,1,0,,Pakistan,2015-07-01,2015-08-01
444,Mohammad Irfan,5,1,1,4,4,,7,57.14,0,0,0,1,0,,Pakistan,2015-07-01,2015-08-01
445,Rahat Ali,5,2,1,0,0,0.0,7,0.0,0,0,1,0,0,,Pakistan,2015-07-01,2015-08-01
446,Soumya Sarkar,3,3,1,205,90,102.5,181,113.25,0,2,0,30,2,,Bangladesh,2015-07-01,2015-08-01
447,Tamim Iqbal,3,3,1,66,61,33.0,97,68.04,0,1,1,8,0,,Bangladesh,2015-07-01,2015-08-01
448,Mahmudullah,3,2,0,50,50,25.0,65,76.92,0,1,1,6,0,,Bangladesh,2015-07-01,2015-08-01
449,Shakib Al Hasan,3,2,1,48,48,48.0,55,87.27,0,0,0,5,0,,Bangladesh,2015-07-01,2015-08-01
450,Nasir Hossain,3,1,0,31,31,31.0,44,70.45,0,0,0,3,1,,Bangladesh,2015-07-01,2015-08-01
451,Mushfiqur Rahim,3,1,0,24,24,24.0,38,63.15,0,0,0,1,0,,Bangladesh,2015-07-01,2015-08-01
452,Litton Das,3,3,1,22,17,11.0,20,110.0,0,0,1,3,1,,Bangladesh,2015-07-01,2015-08-01
453,Jubair Hossain,1,1,0,5,5,5.0,9,55.55,0,0,0,1,0,,Bangladesh,2015-07-01,2015-08-01
454,Sabbir Rahman,3,1,0,5,5,5.0,13,38.46,0,0,0,0,0,,Bangladesh,2015-07-01,2015-08-01
455,Mashrafe Mortaza,3,1,0,4,4,4.0,12,33.33,0,0,0,0,0,,Bangladesh,2015-07-01,2015-08-01
456,Mustafizur Rahman,3,1,1,0,0,,11,0.0,0,0,0,0,0,,Bangladesh,2015-07-01,2015-08-01
457,Rubel Hossain,2,,,,,,,,,,,,,,Bangladesh,2015-07-01,2015-08-01
458,F du Plessis,3,3,1,110,63,55.0,156,70.51,0,1,0,10,0,,South Africa,2015-07-01,2015-08-01
459,RR Rossouw,3,3,1,66,45,33.0,104,63.46,0,0,0,7,1,,South Africa,2015-07-01,2015-08-01
460,JP Duminy,3,2,0,64,51,32.0,91,70.32,0,1,0,4,0,,South Africa,2015-07-01,2015-08-01
461,DA Miller,3,2,0,53,44,26.5,75,70.66,0,0,0,5,0,,South Africa,2015-07-01,2015-08-01
462,HM Amla,3,3,0,51,22,17.0,90,56.66,0,0,0,7,0,,South Africa,2015-07-01,2015-08-01
463,F Behardien,3,2,0,48,36,24.0,60,80.0,0,0,0,3,1,,South Africa,2015-07-01,2015-08-01
464,Q de Kock,3,3,0,44,35,14.66,58,75.86,0,0,0,6,0,,South Africa,2015-07-01,2015-08-01
465,CH Morris,2,1,0,12,12,12.0,13,92.3,0,0,0,3,0,,South Africa,2015-07-01,2015-08-01
466,K Rabada,3,2,0,11,10,5.5,30,36.66,0,0,0,1,0,,South Africa,2015-07-01,2015-08-01
467,KJ Abbott,3,2,0,10,5,5.0,21,47.61,0,0,0,1,0,,South Africa,2015-07-01,2015-08-01
468,Imran Tahir,3,1,1,1,1,,4,25.0,0,0,0,0,0,,South Africa,2015-07-01,2015-08-01
469,M Morkel,1,1,1,1,1,,3,33.33,0,0,0,0,0,,South Africa,2015-07-01,2015-08-01
470,TWM Latham,6,6,1,318,110,63.6,399,79.69,1,3,0,28,4,,New Zealand,2015-08-01,2015-09-01
471,MJ Guptill,6,6,2,307,116,76.75,380,80.78,2,0,0,31,5,,New Zealand,2015-08-01,2015-09-01
472,KS Williamson,6,5,0,280,97,56.0,352,79.54,0,2,0,28,3,,New Zealand,2015-08-01,2015-09-01
473,LRPL Taylor,2,1,1,112,112,,122,91.8,1,0,0,6,3,,New Zealand,2015-08-01,2015-09-01
474,GD Elliott,6,4,0,103,43,25.75,93,110.75,0,0,0,10,2,,New Zealand,2015-08-01,2015-09-01
475,JDS Neesham,3,3,2,92,41,92.0,81,113.58,0,0,0,9,1,,New Zealand,2015-08-01,2015-09-01
476,C Munro,5,3,0,77,35,25.66,90,85.55,0,0,0,5,1,,New Zealand,2015-08-01,2015-09-01
477,GH Worker,2,2,1,41,21,41.0,63,65.07,0,0,0,4,0,,New Zealand,2015-08-01,2015-09-01
478,NL McCullum,4,2,1,35,25,35.0,30,116.66,0,0,0,1,1,,New Zealand,2015-08-01,2015-09-01
479,AF Milne,3,2,1,19,15,19.0,21,90.47,0,0,0,1,0,,New Zealand,2015-08-01,2015-09-01
